Term;Status;Synonym;FR;EN;NL
AdministrationDate;accepted;;Date d'administration du vaccin ou produit. Pour vaccins, une periode de la vie peut aussi etre mentionnee si les dates sont inconnues (pendant l'enfance, a l'adolescence...);Date of administration of the vaccine or product. For vaccines, a life period may also be mentioned if exact dates are unknown (during childhood, adolescence...);Datum van toediening van het vaccin of product. Voor vaccins kan ook een levensperiode worden vermeld als de exacte datums onbekend zijn (tijdens de kindertijd, adolescentie...)
Asserter;accepted;;La personne a la source de l'information (ex: le patient, le medecin generaliste, un parent, le professionnel qui enregistre l'information lui-meme, ...);The person who is the source of the information (e.g., the patient, general practitioner, a relative, the professional recording the information themselves, ...);De persoon die de bron van de informatie is (bijv. de patient, huisarts, een familielid, de professional die de informatie zelf registreert, ...)
Author;accepted;Recorder;Est le professionnel de la sante qui prend la responsabilite du contenu encode;The healthcare professional who takes responsibility for the recorded content;De zorgprofessional die de verantwoordelijkheid neemt voor de geregistreerde inhoud
BodyLaterality;accepted;;Precise la lateralite du corps (a droite, a gauche, les deux);Specifies the body laterality (right, left, both);Specificeert de lichaamszijdigheid (rechts, links, beide)
BodyLocation;accepted;BodySite;Indique l'endroit du corps (tete, jambe, femur, coeur, ...);Indicates the body location (head, leg, femur, heart, ...);Geeft de lichaamslocatie aan (hoofd, been, dijbeen, hart, ...)
BodyTopography;accepted;;Decrit la localisation ou la position relative sur le corps, telle que superieure/inferieure, mediale/laterale ou interne/externe;Describes the location or relative position on the body, such as superior/inferior, medial/lateral or internal/external;Beschrijft de locatie of relatieve positie op het lichaam, zoals superieur/inferieur, mediaal/lateraal of intern/extern
BusinessIdentifier;accepted;BusinessUniqueIdentifier;Identifiant Business unique du CareSet;Unique Business Identifier of the CareSet;Unieke Business Identifier van de CareSet
Category;accepted;;Element qui precise le contexte d'utilisation de l'information;Element that specifies the context of use of the information;Element dat de gebruikscontext van de informatie specificeert
ClinicalStatus;accepted;;Indique le statut de la pertinence clinique. Ex: active, inactive, completed, entered-in-error;Indicates the clinical relevance status. E.g., active, inactive, completed, entered-in-error;Geeft de klinische relevantiestatus aan. Bijv. actief, inactief, voltooid, foutief-ingevoerd
Code;accepted;;Decrit le concept clinique de l'information partagee;Describes the clinical concept of the shared information;Beschrijft het klinische concept van de gedeelde informatie
ImplantableDevice;accepted;;Le dispositif medical qui est implante, retire ou manipule d'une autre maniere (par ex. calibration, remplacement de batterie, ajustement d'une prothese, connexion d'un VAC pour plaie, etc.), et qui constitue un element central de la procedure. Le lien s'effectue via une reference vers une ressource Device;The medical device that is implanted, removed or otherwise manipulated (e.g., calibration, battery replacement, prosthesis adjustment, wound VAC connection, etc.), and which constitutes a central element of the procedure. The link is made via a reference to a Device resource;Het medisch hulpmiddel dat wordt geimplanteerd, verwijderd of anderszins gemanipuleerd (bijv. kalibratie, batterijvervanging, prothese-aanpassing, wond-VAC-aansluiting, enz.), en dat een centraal element van de procedure vormt. De koppeling vindt plaats via een verwijzing naar een Device-resource
LotNumber;accepted;;Numero de lot (par exemple: vaccin, appareil, ...);Lot number (e.g., vaccine, device, ...);Lotnummer (bijv. vaccin, apparaat, ...)
Note;accepted;;Informations complementaires relatives au contenu du CareSet en format texte libre;Additional information related to the CareSet content in free text format;Aanvullende informatie met betrekking tot de CareSet-inhoud in vrije tekstvorm
OriginatingRequest;accepted;;La demande qui est a l'origine du CareSet. Ex: une IRM basee sur une prescription d'imagerie, une dispensation d'un medicament basee sur une prescription medicamenteuse;The request that originated the CareSet. E.g., an MRI based on an imaging prescription, a medication dispensation based on a medication prescription;Het verzoek dat de oorsprong is van de CareSet. Bijv. een MRI op basis van een beeldvormingsvoorschrift, een medicatieverstrekking op basis van een medicatievoorschrift
PartOf;accepted;;Le CareSet dont ce CareSet fait partie, soit le CareSet parent de ce CareSet. Ex: Une biopsie qui fait partie d'une intervention chirurgicale;The CareSet of which this CareSet is part, i.e., the parent CareSet of this CareSet. E.g., a biopsy that is part of a surgical intervention;De CareSet waarvan deze CareSet deel uitmaakt, d.w.z. de bovenliggende CareSet van deze CareSet. Bijv. een biopsie die deel uitmaakt van een chirurgische ingreep
Patient;accepted;;La personne qui est l'objet des soins de sante auxquels l'enregistrement (CareSet) fait reference;The person who is the subject of the healthcare to which the record (CareSet) refers;De persoon die het onderwerp is van de gezondheidszorg waarnaar het dossier (CareSet) verwijst
Performer;accepted;;Le professionnel de la sante qui a effectue l'action en fonction du CareSet (ex: administre le vaccin, realise l'observation, ...);The healthcare professional who performed the action according to the CareSet (e.g., administered the vaccine, performed the observation, ...);De zorgprofessional die de actie heeft uitgevoerd volgens de CareSet (bijv. het vaccin toegediend, de observatie uitgevoerd, ...)
