Term;Display;Status;Synonym;FR;EN;NL;FR Note;EN Note;NL Note
CareSet;;active;;module d'information métier standardisé et réutilisable, indépendant des implémentations techniques, qui définit la signification et la structure d'un concept de soins de santé et soutient l'élaboration de spécifications d'interopérabilité et de profils belges;standardised, reusable business information module, independent of technical implementations, that defines the meaning and structure of a healthcare concept, supporting the development of interoperability specifications and Belgian profiles;gestandaardiseerde en herbruikbare bedrijfsinformatiemodule, onafhankelijk van technische implementaties, die de betekenis en structuur van een zorgconcept definieert en de ontwikkeling ondersteunt van interoperabiliteitsspecificaties en Belgische profielen;Les CareSets permettent un échange cohérent et sécurisé de données de santé au sein de l'écosystème de santé belge.;CareSets enable coherent and secure exchange of health data within the Belgian healthcare ecosystem.;CareSets maken een coherente en beveiligde uitwisseling van gezondheidsgegevens binnen het Belgische zorgecosysteem mogelijk.
LogicalModel;;active;;spécification indépendante de toute implémentation de la structure d'un CareSet, qui nomme chaque élément de données avec sa cardinalité, sa description et son type de données;implementation-independent specification of the structure of a CareSet, naming each data element with its cardinality, description and data type;implementatieonafhankelijke specificatie van de structuur van een CareSet, die elk gegevenselement benoemt met zijn kardinaliteit, beschrijving en gegevenstype;Un modèle logique peut aussi définir un composant réutilisé par plusieurs CareSets, tel que BodySite. Exprimé sous la forme d'une StructureDefinition FHIR de kind « logical » : il peut en réutiliser un autre comme type de données d'un de ses éléments (composition), ou en étendre un autre comme parent (spécialisation).;A logical model may also define a component reused by several CareSets, such as BodySite. Expressed as a FHIR StructureDefinition of kind 'logical': it may reuse another as the data type of one of its elements (composition), or extend another as its parent (specialisation).;Een logisch model kan ook een component definiëren die door meerdere CareSets wordt hergebruikt, zoals BodySite. Uitgedrukt als een FHIR StructureDefinition van kind 'logical': het kan een ander model hergebruiken als gegevenstype van een van zijn elementen (compositie), of een ander model uitbreiden als ouder (specialisatie).
ValueSet;;active;;ensemble de codes provenant d'un ou plusieurs CodeSystems, utilisé pour définir les valeurs autorisées pour un élément de données;set of codes from one or more CodeSystems, used to define the allowed values for a data element;verzameling codes uit een of meer CodeSystems, gebruikt om de toegestane waarden voor een data-element te definiëren;;;
CodeSystem;;active;;collection de codes avec leurs définitions et propriétés associées, organisée de manière hiérarchique ou plate – p. ex. SNOMED, LOINC;collection of codes with their associated definitions and properties, organised hierarchically or flat – e.g. SNOMED, LOINC;verzameling codes met hun bijbehorende definities en eigenschappen, hiërarchisch of plat georganiseerd – bv. SNOMED, LOINC;;;
Package;;active;;ensemble versionné de ressources FHIR (profils, extensions, ValueSets, etc.) distribué comme une unité cohérente pour le déploiement et l'implémentation;versioned bundle of FHIR resources (profiles, extensions, ValueSets, etc.) distributed as a coherent unit for deployment and implementation;geversioneerde bundel van FHIR-resources (profielen, extensies, ValueSets, enz.) gedistribueerd als een samenhangende eenheid voor deployment en implementatie;;;
ImplementationGuide;;active;Implementation Guide;publication qui décrit comment FHIR doit être utilisé pour résoudre un problème particulier, incluant les profils, extensions, ValueSets et exemples nécessaires;publication that describes how FHIR should be used to solve a particular problem, including the necessary profiles, extensions, ValueSets and examples;publicatie die beschrijft hoe FHIR moet worden gebruikt om een bepaald probleem op te lossen, inclusief de benodigde profielen, extensies, ValueSets en voorbeelden;;;
DataElement;Data Element;active;Data Element;unité d'information nommée au sein d'un CareSet, dotée d'une signification métier définie;named unit of information within a CareSet, with a defined business meaning;benoemde informatie-eenheid binnen een CareSet, met een vastgelegde businessbetekenis;Sa sémantique est documentée. Il peut être soumis à des contraintes fonctionnelles telles que cardinalité, bindings ou conditions. Toujours défini au sein d'un CareSet, et non comme un champ technique autonome.;Its semantics are documented. It may be subject to functional constraints such as cardinality, bindings or conditions. Always defined within a CareSet, not as a standalone technical field.;De semantiek ervan is gedocumenteerd. Het kan onderworpen zijn aan functionele beperkingen zoals kardinaliteit, bindings of voorwaarden. Altijd gedefinieerd binnen een CareSet, niet als een op zichzelf staand technisch veld.
BusinessAnalysisDocument;;active;Business Analysis Document;délivrable normatif accompagnant la publication d'un CareSet, décrivant le contexte et les objectifs, la structure de données, les scénarios d'usage, ainsi que le périmètre fonctionnel du CareSet;normative deliverable accompanying the publication of a CareSet, describing the context and objectives, the data structure, the usage scenarios, and the functional scope of the CareSet;normatief deliverable dat de publicatie van een CareSet begeleidt en de context en doelstellingen, de gegevensstructuur, de gebruiksscenario's en het functionele bereik van de CareSet beschrijft;;;
BusinessRules;;active;Business Rules;règles fonctionnelles et métier associées à un CareSet, incluant les contraintes qui ne sont pas exprimées dans la spécification FHIR, ainsi que les règles de cohérence ou de dépendance;functional and business rules associated with a CareSet, including the constraints that are not expressed in the FHIR specification, as well as the rules of consistency or dependency;functionele en business-regels verbonden aan een CareSet, inclusief de beperkingen die niet in de FHIR-specificatie worden uitgedrukt, en de regels inzake consistentie of afhankelijkheid;;;
FHIRSpecification;FHIR;active;Fast Healthcare Interoperability Resources;norme internationale HL7 pour l'échange électronique d'informations de santé, définissant les ressources, types de données et API sur lesquels s'appuient les spécifications des CareSets;international HL7 standard for the electronic exchange of healthcare information, defining the resources, data types and APIs on which CareSet specifications are built;internationale HL7-standaard voor de elektronische uitwisseling van gezondheidsinformatie, die de resources, gegevenstypes en API's definieert waarop de CareSet-specificaties bouwen;;;
FHIRResource;Resource (FHIR);active;;structure de données de base dans la norme FHIR qui structure les données de santé;basic data structure in the FHIR standard that structures health data;basisgegevensstructuur in de FHIR-standaard die gezondheidsgegevens structureert;Constitue le modèle de base pour la représentation et l'échange des instances de CareSet. Les profils belges contraignent les ressources.;Provides the base model for representing and exchanging CareSet instances. Belgian profiles constrain resources.;Vormt het basismodel voor het representeren en uitwisselen van CareSet-instanties. Belgische profielen beperken resources.
FHIRResourceInstance;FHIR Resource Instance;active;;instance ou occurrence de données de santé exprimées sous forme d'une ressource FHIR conforme aux profils belges;instance or occurrence of health data expressed as a FHIR resource conforming to the Belgian profiles;instantie of voorkomen van gezondheidsgegevens uitgedrukt als een FHIR-resource conform de Belgische profielen;;;
BelgianProfile;Belgian FHIR Profile;active;;structure de données basée sur une ressource FHIR, qui formalise la manière autorisée et attendue de structurer l'échange de données dans le contexte belge, selon les besoins exprimés par le CareSet;data structure based on a FHIR resource, that formalises the authorised and expected way to structure data exchange in the Belgian context, based on the needs expressed by the CareSet;gegevensstructuur gebaseerd op een FHIR-resource, die de toegelaten en verwachte manier formaliseert om gegevensuitwisseling in de Belgische context te structureren, op basis van de behoeften uitgedrukt door de CareSet;Exprimé sous la forme d'une StructureDefinition avec derivation = constraint.;Expressed as a StructureDefinition with derivation = constraint.;Uitgedrukt als een StructureDefinition met derivation = constraint.
