ID;Row;Term;Lang;Rules;Severity;Decision;Final FR;Final NL;Final EN;Comment;Current;Proposed
F-001;;(template placeholders);META;9;major;accept;;;;"Sweep approved. The Patient row 17 wording drafted here has moved to F-054, which is the finding that writes to the cell; rows 18 and 23 are decided on their own findings.";Patient (row 17): « l'enregistrement (<CareSet>) » · Performer (row 18): « qui a <fait l'action en fonction du <CareSet> » · Used device (row 23): « utilisé pour <CareSet>. »;Sweep the whole sheet — not only the Active rows — for `<` and `>` in the Definition and Description columns and resolve each one into real text.
F-002;;(body-site items);META;8, 10;major;accept;;;;Split approved. It matches StructureDefinition-BeModelBodySite.json, where bodyLocation, bodyLaterality and bodyTopography are already three sibling 0..1 elements. Wording lands via F-019/F-020/F-021 and F-023/F-024/F-025.;;Separate them explicitly — `BodyLocation` names the body part, `BodyTopoGraphy` names the position *within* that part. The per-language proposals below are written to that split.
F-003;;(item naming);META;10;minor;revise;;;;Reviewer's variant, not the proposal as drafted. Standardise the Item column on spaced Title Case as the human label (Administration Date, Body Topography, Used Device), and derive the CodeSystem code from it by removing the spaces, so codes stay CamelCase. Existing GlossaryCode values in glossary_mappings.csv (AdministrationDate, BusinessIdentifier, LotNumber) keep working unchanged. Requires a change to generate_glossary.py, which today uses Term verbatim as the code.;;Pick one convention for the whole sheet and apply it — closed CamelCase is the majority and matches the element names in `DataDictionary`.
F-004;;(status-like items);META;10;minor;accept;;;;"Approved by the reviewer. All three status items take a parallel genus; the differentia carries lifecycle vs clinical currency vs verification.";;Give all three the same genus (« état … » / « toestand … » / “state …”) and let the differentia carry the distinction — lifecycle, clinical currency, verification. The per-language proposals below are written to do that.
F-081;;Device;FR;4, 9;missing;accept;;;;Approved by the reviewer: Device is added as an Active term so both Implantable Device and Used device have a defined genus. New row in the sheet plus a row in ClinicalGlossary.csv - no script writes it, since the term has no row yet.;;instrument, appareil, équipement, logiciel ou autre article destiné par son fabricant à être utilisé à des fins médicales chez l'être humain
F-082;;Device;NL;4, 9;missing;accept;;;;Approved by the reviewer: Device is added as an Active term so both Implantable Device and Used device have a defined genus. New row in the sheet plus a row in ClinicalGlossary.csv - no script writes it, since the term has no row yet.;;instrument, toestel, apparaat, software of ander artikel dat door de fabrikant bestemd is om bij de mens voor medische doeleinden te worden gebruikt
F-083;;Device;EN;4, 9;missing;accept;;;;Approved by the reviewer: Device is added as an Active term so both Implantable Device and Used device have a defined genus. New row in the sheet plus a row in ClinicalGlossary.csv - no script writes it, since the term has no row yet.;;instrument, apparatus, appliance, software or other article intended by its manufacturer to be used for medical purposes in human beings
F-005;2;AdministrationDate;FR;1;minor;accept;;;;;Date d’administration du produit / vaccin par le Performer.;date à laquelle un produit ou un vaccin est administré au patient par le Performer
F-006;2;AdministrationDate;NL;1;minor;accept;;;;;Datum waarop het product/vaccin door de Performer is toegediend.;datum waarop een product of vaccin door de Performer aan de patiënt is toegediend
F-007;2;AdministrationDate;EN;1, 7;major;accept;;;;;Date of administration of the vaccine or product. For vaccines, a life period may also be mentioned if exact dates are unknown (during childhood, adolescence...);date on which a product or vaccine is administered to the patient by the Performer
F-008;3;Asserter;FR;8;major;revise;personne qui rapporte l'information enregistrée dans le CareSet;;;Reviewer's variant: 'rapporte' rather than 'est à la source de'. Settled with F-009 and F-010 so the three languages take the same reading, which also matches the element name Asserter. Knowingly diverges from FHIR's 'source of the information'.;La personne à la source de l’information;personne qui est à la source de l'information enregistrée dans le CareSet
F-009;3;Asserter;NL;8, 10;major;revise;;persoon die de in de CareSet geregistreerde informatie rapporteert;;"Reviewer's variant. NL keeps the reporting sense it already had rather than being pulled to 'source'; FR and EN move to match it.";De persoon die de informatie verstrekt;persoon die aan de bron ligt van de in de CareSet geregistreerde informatie
