Model;ElementSuffix;GlossaryCode
StructureDefinition-BeModelAnnex81.json;recordedDate;RecordedDate
StructureDefinition-BeModelAnnex81.json;author;Recorder
StructureDefinition-BeModelAnnex81.json;status;Status
StructureDefinition-BeModelAnnex81.json;patient;Patient
StructureDefinition-BeModelAssignment.json;status;Status
StructureDefinition-BeModelAssignment.json;performer;Performer
StructureDefinition-BeModelBodySite.json;bodyLocation;BodyLocation
StructureDefinition-BeModelBodySite.json;bodyLaterality;BodyLaterality
StructureDefinition-BeModelBodySite.json;bodyTopography;BodyTopography
StructureDefinition-BeModelCarePlan.json;category;Category
StructureDefinition-BeModelCarePlan.json;partOf;PartOf
StructureDefinition-BeModelCarePlan.json;status;Status
StructureDefinition-BeModelCarePlan.json;author;Recorder
StructureDefinition-BeModelCarePlan.json;note;Note
StructureDefinition-BeModelCareTeam.json;category;Category
StructureDefinition-BeModelCareTeam.json;status;Status
StructureDefinition-BeModelCareTeam.json;note;Note
StructureDefinition-BeModelClinicalObservation.json;performer;Performer
StructureDefinition-BeModelClinicalObservation.json;device;UsedDevice
StructureDefinition-BeModelClinicalObservation.json;category;Category
StructureDefinition-BeModelClinicalObservation.json;code;Code
StructureDefinition-BeModelClinicalObservation.json;status;Status
StructureDefinition-BeModelClinicalObservation.json;note;Note
StructureDefinition-BeModelDocument.json;status;Status
StructureDefinition-BeModelDocument.json;author;Recorder
StructureDefinition-BeModelGoal.json;category;Category
StructureDefinition-BeModelGoal.json;status;Status
StructureDefinition-BeModelMedication.json;status;Status
StructureDefinition-BeModelMedication.json;code;Code
StructureDefinition-BeModelMedication.json;batch.lotNumber;LotNumber
StructureDefinition-BeModelMedicationDispense.json;recordedDate;RecordedDate
StructureDefinition-BeModelMedicationDispense.json;patient;Patient
StructureDefinition-BeModelMedicationDispense.json;status;Status
StructureDefinition-BeModelMedicationDispense.json;note;Note
StructureDefinition-BeModelMedicationLine.json;recordedDate;RecordedDate
StructureDefinition-BeModelMedicationLine.json;recorder;Recorder
StructureDefinition-BeModelMedicationLine.json;patient;Patient
StructureDefinition-BeModelMedicationLine.json;status;Status
StructureDefinition-BeModelMedicationLine.json;note;Note
StructureDefinition-BeModelMedicationPrescription.json;recordedDate;RecordedDate
StructureDefinition-BeModelMedicationPrescription.json;patient;Patient
StructureDefinition-BeModelMedicationPrescription.json;status;Status
StructureDefinition-BeModelMedicationPrescription.json;note;Note
StructureDefinition-BeModelOrganisationClaim.json;status;Status
StructureDefinition-BeModelPatientWill.json;recordedDate;RecordedDate
StructureDefinition-BeModelPatientWill.json;patient;Patient
StructureDefinition-BeModelPatientWill.json;recorder;Recorder
StructureDefinition-BeModelPatientWill.json;category;Category
StructureDefinition-BeModelPatientWill.json;note;Note
StructureDefinition-BeModelPopulationScreening.json;patient;Patient
StructureDefinition-BeModelPopulationScreeningPlan.json;patient;Patient
StructureDefinition-BeModelProcedure.json;recordedDate;RecordedDate
StructureDefinition-BeModelProcedure.json;patient;Patient
StructureDefinition-BeModelProcedure.json;recorder;Recorder
StructureDefinition-BeModelProcedure.json;performer;Performer
StructureDefinition-BeModelProcedure.json;partOf;PartOf
StructureDefinition-BeModelProcedure.json;category;Category
StructureDefinition-BeModelProcedure.json;usedDevice;UsedDevice
StructureDefinition-BeModelProcedure.json;status;Status
StructureDefinition-BeModelProcedure.json;code;Code
StructureDefinition-BeModelProcedure.json;note;Note
StructureDefinition-BeModelRadiologyPrescription.json;bodyLaterality;BodyLaterality
StructureDefinition-BeModelReferralPrescription.json;recordedDate;RecordedDate
StructureDefinition-BeModelReferralPrescription.json;patient;Patient
StructureDefinition-BeModelReferralPrescription.json;author;Recorder
StructureDefinition-BeModelReferralPrescription.json;status;Status
StructureDefinition-BeModelReferralPrescription.json;bodyLocation;BodyLocation
StructureDefinition-BeModelTask.json;author;Recorder
StructureDefinition-BeModelTask.json;status;Status
StructureDefinition-BeModelTreatmentStatus.json;status;Status
StructureDefinition-BeModelVaccinationReduced.json;patient;Patient
StructureDefinition-BeModelVaccinationReduced.json;performer;Performer
StructureDefinition-BeModelVaccinationReduced.json;administeredProduct.lotNumber;LotNumber
StructureDefinition-PSSConsentModel.json;recordedDate;RecordedDate
StructureDefinition-PSSRequest.json;recordedDate;RecordedDate
StructureDefinition-PSSResponse.json;recordedDate;RecordedDate
StructureDefinition-PSSResponse.json;status;Status
StructureDefinition-be-model-allergyintolerance.json;reactions.note;Note
StructureDefinition-BeModelClinicalReport.json;businessIdentifier;BusinessIdentifier
StructureDefinition-BeModelClinicalReport.json;recordedDate;RecordedDate
StructureDefinition-BeModelClinicalReport.json;patient;Patient
StructureDefinition-BeModelClinicalReport.json;recorder;Recorder
StructureDefinition-BeModelClinicalReport.json;category;Category
