Model;ElementSuffix;GlossaryCode
StructureDefinition-be-model-vaccination.json;identifier;BusinessIdentifier
StructureDefinition-be-model-vaccination.json;recorded;RecordedDate
StructureDefinition-be-model-vaccination.json;patient;Patient
StructureDefinition-be-model-vaccination.json;recorder;Author
StructureDefinition-be-model-vaccination.json;performer;Performer
StructureDefinition-be-model-vaccination.json;vaccinationDate[x];AdministrationDate
StructureDefinition-be-model-vaccination.json;administeredProduct.lotNumber;LotNumber
StructureDefinition-be-model-vaccination.json;route;Route
StructureDefinition-be-model-vaccination.json;status;Status
StructureDefinition-be-model-vaccination.json;note;Note
StructureDefinition-be-model-vaccination.json;site;BodyLocation
StructureDefinition-be-model-vaccination.json;bodyLaterality;BodyLaterality
StructureDefinition-be-model-allergyintolerance.json;patient;Patient
StructureDefinition-be-model-allergyintolerance.json;code;Code
StructureDefinition-be-model-allergyintolerance.json;category;Category
StructureDefinition-be-model-allergyintolerance.json;status.clinicalStatus;ClinicalStatus
StructureDefinition-be-model-allergyintolerance.json;status.verificationStatus;VerificationStatus
StructureDefinition-be-model-allergyintolerance.json;recordedDate;RecordedDate
StructureDefinition-be-model-allergyintolerance.json;recorder;Author
StructureDefinition-be-model-allergyintolerance.json;asserter;Asserter
StructureDefinition-be-model-allergyintolerance.json;note;Note
StructureDefinition-BeModelProblem.json;identifier;BusinessIdentifier
StructureDefinition-BeModelProblem.json;recordedDate;RecordedDate
StructureDefinition-BeModelProblem.json;recorder;Author
StructureDefinition-BeModelProblem.json;asserter;Asserter
StructureDefinition-BeModelProblem.json;subject;Patient
StructureDefinition-BeModelProblem.json;category;Category
StructureDefinition-BeModelProblem.json;code;Code
StructureDefinition-BeModelProblem.json;clinicalStatus;ClinicalStatus
StructureDefinition-BeModelProblem.json;verificationStatus;VerificationStatus
StructureDefinition-BeModelProblem.json;bodySite.localisation;BodyLocation
StructureDefinition-BeModelProblem.json;bodySite.laterality;BodyLaterality
StructureDefinition-BeModelProblem.json;note;Note
