Term;Display;Status;Synonym;FR;EN;NL;FR Note;EN Note;NL Note
AdministrationDate;Administration Date;accepted;;date à laquelle un produit ou un vaccin est administré au patient par le Performer;date on which a product or vaccine is administered to the patient by the Performer;datum waarop een product of vaccin door de Performer aan de patiënt is toegediend;Une période de la vie peut aussi être mentionnée si les dates sont inconnues (pendant l’enfance, à l’adolescence…);For vaccines, a life period may also be recorded when the exact date is unknown (during childhood, adolescence, …).;Indien de data onbekend zijn, kan ook een levensfase worden vermeld (tijdens de kindertijd, in de adolescentie…)
Asserter;Asserter;accepted;;personne qui rapporte l'information enregistrée dans le CareSet;person who reports the information recorded in the CareSet;persoon die de in de CareSet geregistreerde informatie rapporteert;Représenté ici dans la mesure du possible par le N° du registre national (NISS) ou le numéro BIS comme son identifiant unique. Toutefois, lorsqu’il s’agit d’un parent ou proche, seul le rôle sera encodé (ex : père, mère, voisin, aidant-proche, ami, …) pour répondre aux exigences RGPD. Dans un premier temps, on utilisera le texte inspiré du futur ValueSet et par la suite, on utilisera le ValueSet « VS_PatientRelationshipType » en cours de validation chez SNOMED/ FHIR international. Ce sera un ValueSet transversal (ex : utilisé aussi pour les antécédents familiaux). Attention, actuellement, il n’y a pas de référence vers un CareSet administratif.;For example: the patient, the general practitioner, a relative, or the professional recording the information themselves.;"""Hier wordt, voor zover mogelijk, het nationale registratienummer (NISS) of het BIS-nummer als unieke identificatiecode gebruikt. Wanneer het echter om een familielid of naaste gaat, wordt alleen de rol ingevoerd (bijv.: vader, moeder, buur, mantelzorger, vriend, …) om te voldoen aan de AVG-vereisten. In eerste instantie zal de tekst worden gebruikt die is geïnspireerd op de toekomstige ValueSet en daarna zal de ValueSet ‘VS_PatientRelationshipType’ worden gebruikt, die momenteel wordt gevalideerd bij SNOMED/FHIR International. Dit wordt een transversale ValueSet (bijv. ook gebruikt voor de familiegeschiedenis). Let op: momenteel is er geen verwijzing naar een administratieve CareSet."""
Author;Author;accepted;Recorder;professionnel de la santé qui enregistre le contenu du CareSet et en assume la responsabilité;healthcare professional who records the content of the CareSet and takes responsibility for it;zorgverlener die de inhoud van de CareSet vastlegt en er de verantwoordelijkheid voor draagt;Toutefois, lorsqu’il s’agit d’un parent ou proche, seul le rôle sera encodé (ex : père, mère, voisin, aidant-proche, ami, …) pour répondre aux exigences RGPD. Dans un premier temps, on utilisera le texte inspiré du futur ValueSet et par la suite, on utilisera le ValueSet « VS_PatientRelationshipType » en cours de validation chez SNOMED/ FHIR international. Ce sera un ValueSet transversal (ex : utilisé aussi pour les antécédents familiaux). Attention, actuellement, il n’y a pas de référence vers un CareSet administratif.;;Wanneer het echter om een ouder of naaste gaat, wordt alleen de rol ingevoerd (bijv.: vader, moeder, buur, mantelzorger, vriend, …) om te voldoen aan de AVG-vereisten. In eerste instantie zal de tekst worden gebruikt die is geïnspireerd op de toekomstige ValueSet en daarna zal de ValueSet „VS_PatientRelationshipType“ worden gebruikt, die momenteel wordt gevalideerd bij SNOMED/FHIR International. Dit wordt een transversale ValueSet (bijv. ook gebruikt voor de familiegeschiedenis). Let op: momenteel is er geen verwijzing naar een administratieve CareSet.
BodyLaterality;Body Laterality;accepted;;côté du corps auquel se rapporte l'information enregistrée;side of the body to which the recorded information refers;zijde van het lichaam waarop de geregistreerde informatie betrekking heeft;(à droite, à gauche, les deux);Right, left, or both.;Links,rechts,beiden
BodyLocation;Body Location;accepted;BodySite;partie du corps à laquelle se rapporte l'information enregistrée;part of the body to which the recorded information refers;lichaamsdeel waarop de geregistreerde informatie betrekking heeft;(tête, jambe, fémur, cœur, …);For example: head, leg, femur, heart, …;(hoofd, been, dijbeen, hart, …)
BodyTopography;Body Topography;accepted;;position relative, à l'intérieur de la partie du corps concernée, du siège de l'information enregistrée;relative position, within the body part concerned, of the site to which the recorded information refers;relatieve positie, binnen het betrokken lichaamsdeel, van de plaats waarop de geregistreerde informatie betrekking heeft;telle que supérieure/inférieure, médiale/latérale ou interne/externe.;For example: superior/inferior, medial/lateral, internal/external.;zoals bovenste/onderste, mediaal/lateraal of inwendig/uitwendig.
BusinessIdentifier;Business Identifier;accepted;Business UniqueIdentifier;identifiant qui désigne une instance de CareSet et qui est unique dans l'espace de nommage du système qui l'attribue;identifier that designates a CareSet instance and is unique within the namespace of the system that assigns it;identificatie die een CareSet-instantie aanduidt en uniek is binnen de naamruimte van het systeem dat haar toekent;Normalement un seul identifiant est admis mais dans certains cas, plusieurs identifiants seront permit (par ex : numéro de passeport, numéro niss dans le cs Bepatient, id Belrai);;Normaal gesproken is slechts één identificatiecode toegestaan, maar in bepaalde gevallen zijn meerdere identificatiecodes toegestaan (bijv.: paspoortnummer, NISS-nummer in het Bepatient-systeem, Belrai-ID)
Category;Category;accepted;;attribut classant un élément de données selon sa signification clinique ou fonctionnelle, permettant d'en regrouper les occurrences;attribute classifying a data element by its clinical or functional meaning, allowing its occurrences to be grouped;attribuut dat een gegevenselement indeelt naar zijn klinische of functionele betekenis, waardoor de voorkomens ervan gegroepeerd kunnen worden;"Permet de distinguer les différents groupes. Est un instrument de recherche. ""MetaData""";;
ClinicalStatus;Clinical Status;accepted;;état rendant compte de l'actualité clinique de l'information enregistrée;state expressing the clinical currency of the recorded information;toestand die de klinische actualiteit van de geregistreerde informatie weergeeft;Ex : active, inactive, completed, Entered_in_error (doit se trouver dans la description);For example: active, inactive, resolved, entered-in-error.;
Code;Code;accepted;;valeur codée désignant le concept clinique auquel se rapporte l'information enregistrée;coded value designating the clinical concept to which the recorded information refers;gecodeerde waarde die het klinische concept aanduidt waarop de geregistreerde informatie betrekking heeft;;;
