Model;ElementSuffix;GlossaryCode
BeModelAllergyIntolerance;asserter;Asserter
BeModelAllergyIntolerance;category;Category
BeModelAllergyIntolerance;code;Code
BeModelAllergyIntolerance;note;Note
BeModelAllergyIntolerance;patient;Patient
BeModelAllergyIntolerance;reactions.note;Note
BeModelAllergyIntolerance;recordedDate;RecordedDate
BeModelAllergyIntolerance;recorder;Recorder
BeModelAllergyIntolerance;status.clinicalStatus;ClinicalStatus
BeModelAllergyIntolerance;status.verificationStatus;VerificationStatus
BeModelClinicalObservation;identifier;BusinessIdentifier
BeModelClinicalObservation;patient;Patient
BeModelClinicalObservation;recordedDate;RecordedDate
BeModelClinicalObservation;recorder;Recorder
BeModelProblem;asserter;Asserter
BeModelProblem;bodySite.laterality;BodyLaterality
BeModelProblem;bodySite.localisation;BodyLocation
BeModelProblem;category;Category
BeModelProblem;clinicalStatus;ClinicalStatus
BeModelProblem;code;Code
BeModelProblem;identifier;BusinessIdentifier
BeModelProblem;note;Note
BeModelProblem;recordedDate;RecordedDate
BeModelProblem;recorder;Recorder
BeModelProblem;subject;Patient
BeModelProblem;verificationStatus;VerificationStatus
BeModelVaccination;administeredProduct.lotNumber;LotNumber
BeModelVaccination;bodyLaterality;BodyLaterality
BeModelVaccination;identifier;BusinessIdentifier
BeModelVaccination;note;Note
BeModelVaccination;patient;Patient
BeModelVaccination;performer;Performer
BeModelVaccination;recorded;RecordedDate
BeModelVaccination;recorder;Recorder
BeModelVaccination;route;RouteOfAdministration
BeModelVaccination;site;BodyLocation
BeModelVaccination;status;Status
BeModelVaccination;vaccinationDate[x];AdministrationDate
